time_s,n_citric_g,x_piston_cm,v_piston_cm_s,s_vehicle_m,v_vehicle_cm_s,n_co2_gas_mol,n_co2_dissolved_mol,P_reactor_bar,n_air_mol
0.000000,243.000000,15.000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.0000,0.00000000
0.000207,242.999916,15.000000,0.000000,0.000000,0.000000,0.00000131,0.00000040,0.0000,0.00000000
0.000414,242.999832,15.000000,0.000000,0.000000,0.000000,0.00000262,0.00000080,0.0000,0.00000000
0.002482,242.998995,15.000000,0.000000,0.000000,0.000000,0.00001570,0.00000479,0.0001,0.00000000
0.004550,242.998157,15.000000,0.000000,0.000000,0.000000,0.00002878,0.00000877,0.0003,0.00000000
0.009550,242.996132,15.000000,0.000000,0.000000,0.000000,0.00006040,0.00001840,0.0005,0.00000000
0.014550,242.994107,15.000000,0.000000,0.000000,0.000000,0.00009202,0.00002800,0.0008,0.00000000
0.019550,242.992082,15.000000,0.000000,0.000000,0.000000,0.00012364,0.00003757,0.0011,0.00000000
0.024550,242.990057,15.000000,0.000000,0.000000,0.000000,0.00015526,0.00004712,0.0014,0.00000000
0.029550,242.988032,15.000000,0.000000,0.000000,0.000000,0.00018688,0.00005665,0.0017,0.00000000
0.034550,242.986007,15.000000,0.000000,0.000000,0.000000,0.00021850,0.00006615,0.0020,0.00000000
0.039550,242.983982,15.000000,0.000000,0.000000,0.000000,0.00025012,0.00007563,0.0023,0.00000000
0.044550,242.981958,15.000000,0.000000,0.000000,0.000000,0.00028174,0.00008509,0.0025,0.00000000
0.049550,242.979933,15.000000,0.000000,0.000000,0.000000,0.00031335,0.00009452,0.0028,0.00000000
0.054550,242.977908,15.000000,0.000000,0.000000,0.000000,0.00034497,0.00010393,0.0031,0.00000000
0.059550,242.975883,15.000000,0.000000,0.000000,0.000000,0.00037659,0.00011331,0.0034,0.00000000
0.064550,242.973859,15.000000,0.000000,0.000000,0.000000,0.00040820,0.00012268,0.0037,0.00000000
0.069550,242.971834,15.000000,0.000000,0.000000,0.000000,0.00043982,0.00013201,0.0040,0.00000000
0.074550,242.969810,15.000000,0.000000,0.000000,0.000000,0.00047143,0.00014133,0.0043,0.00000000
0.079550,242.967785,15.000000,0.000000,0.000000,0.000000,0.00050305,0.00015062,0.0045,0.00000000
0.084550,242.965760,15.000000,0.000000,0.000000,0.000000,0.00053466,0.00015989,0.0048,0.00000000
0.089550,242.963736,15.000000,0.000000,0.000000,0.000000,0.00056627,0.00016914,0.0051,0.00000000
0.094550,242.961712,15.000000,0.000000,0.000000,0.000000,0.00059788,0.00017836,0.0054,0.00000000
0.099550,242.959687,15.000000,0.000000,0.000000,0.000000,0.00062950,0.00018756,0.0057,0.00000000
